name,contact,creditCard_number,creditCard_expirationDate,creditCard_cvv,billingAddress_street,billingAddress_city,billingAddress_state,billingAddress_zip,billingAddress_country,device_type,device_model,device_os,browser_name,browser_version,items_name,items_quantity,referrer,isFraudulent
Timothy Andrews,+1-201-413-0905x271,5545321099098015,09/26,168,98347 Garcia Inlet,New Stephen,Virginia,10252,Paraguay,movie,help,forget,school,9,event,4,http://www.jordan.org/,False
Tiffany Anderson,(317)393-8556x734,2501169240568843,07/27,351,7078 John Turnpike,Pearsonland,Arkansas,96251,Estonia,personal,guy,PM,same,7,across,2,http://www.berg.org/,False
Nancy Mathis,967.363.0723,2225734639913606,11/25,869,25350 Bishop Center,East Emilyville,Massachusetts,57843,Sri Lanka,save,other,minute,show,9,serious,1,https://www.miller-flores.com/,False
Destiny Sanchez MD,764-804-3858x8021,2707563625311070,05/26,019,4530 Bautista Point,South Robert,Texas,81874,Sri Lanka,body,team,stand,family,7,most,1,http://www.wilson.com/,True
Sherry Love,565.495.3979x7524,2453411830413016,03/31,975,00917 Boyd Pass,Rodriguezton,Arkansas,02267,Niue,alone,allow,seem,water,6,dog,2,https://neal-alexander.com/,True
Lisa Rogers,347.510.6598,2694629740530483,07/24,097,61836 English Loop,Lake Richardfurt,Iowa,81176,Iceland,through,alone,thank,surface,9,suffer,1,http://brooks.com/,True
Taylor Duffy,+1-684-907-9192x069,2362738024249735,07/33,052,17444 Ryan Dam Apt. 048,Port George,Iowa,30265,United States Minor Outlying Islands,about,two,a,crime,6,edge,3,http://dickerson.com/,True
Megan Evans,607.762.9371x49482,2720708194710581,04/30,912,763 Carlson Drives Apt. 845,South Jamie,Nevada,93884,Nauru,beyond,sense,along,article,7,ask,4,https://adams.com/,True
Ashley Lyons,591-290-4001x4502,2719258071661211,07/29,171,0117 Selena Court Apt. 265,New Shane,Arizona,85501,South Georgia and the South Sandwich Islands,former,power,small,right,8,buy,5,http://www.wells-williams.info/,False
Donald Erickson,623-859-3231x449,2228091641669529,12/24,338,48672 Hurley Trail Suite 044,West Markfort,North Carolina,20882,Saint Pierre and Miquelon,out,keep,special,chance,2,sit,5,https://duncan-stevens.com/,False
James Whitaker,001-491-517-9813,2274943256520988,07/28,607,75960 Nicholas Walk Suite 491,Daytown,Louisiana,62873,Gambia,similar,range,where,smile,1,compare,5,https://www.porter-allen.info/,True
Samuel Morgan DVM,296.982.5799x087,5341019432204169,10/25,028,755 Elizabeth Plain,North Karen,Kentucky,92358,North Macedonia,almost,southern,receive,make,5,what,1,http://young.org/,True
Samuel Callahan,001-438-446-3043,2709629659518548,10/25,492,46696 Harris Track Suite 867,Cynthiachester,New Mexico,05800,Gibraltar,level,door,peace,for,4,pick,3,http://www.martinez-peters.com/,False
Ana Archer,7197624636,2292540319072946,01/26,465,4959 Justin Mews Suite 520,Port Jessica,Massachusetts,07298,Congo,ahead,make,order,phone,2,wrong,1,http://medina.com/,False
Nancy Green,3242640096,2574268543161736,11/27,108,500 Christopher Rue Apt. 469,Robertport,Nebraska,06736,Tuvalu,commercial,want,far,young,5,fear,2,http://www.cox.com/,True
Kayla Wallace,355.370.1181,5353749868867510,03/33,583,4462 Evans Radial Apt. 623,Wellsborough,Tennessee,23764,Egypt,wife,matter,common,guy,5,reduce,5,http://www.garza-thomas.com/,True
Dr. James Reyes,001-820-769-3492,2239978017804929,02/25,214,12160 Raymond Shoals,Gilbertbury,New Jersey,15582,Finland,listen,west,religious,thank,4,figure,4,https://baker.com/,True
Clayton Brown,(857)571-0116x995,2225994229581946,09/25,340,32019 King Village,Carlosstad,North Carolina,80343,Slovakia (Slovak Republic),anything,so,design,learn,3,physical,1,http://www.barnett-swanson.biz/,True
Dustin Douglas,+1-777-346-7949,2466543183395542,10/25,985,93602 Steven Summit Suite 239,West Glenfurt,Kentucky,90898,Croatia,across,standard,leave,eye,2,identify,2,https://stewart.net/,False
Alison Anderson,227.716.3639x1553,2254900418228987,03/28,606,06171 York Wall,South Darrell,California,40094,Cambodia,heart,suggest,fall,different,7,name,1,http://lopez-martin.com/,True
Rhonda Vasquez,+1-478-762-8146x525,2266566781335935,09/32,067,20982 Morris Meadows,West Nicholas,New Jersey,09810,France,even,education,test,bit,4,career,3,http://bryan-taylor.org/,False
Phillip Kelley,001-404-533-0283x368,5487337352409558,10/26,820,7521 Palmer View Apt. 630,Lake Steven,Arizona,00821,Somalia,word,occur,increase,right,9,mean,4,https://gordon.com/,False
Steve Gonzales,669-646-9948x44815,2239296044460411,10/29,794,461 Patricia Knolls,Courtneystad,Texas,61539,Bermuda,moment,attorney,threat,floor,1,consumer,3,http://www.thompson-george.com/,False
Holly Hurst,001-859-300-9680x5716,2278474254709114,02/33,898,474 Eric Junctions,Port Angela,Delaware,62710,Liechtenstein,garden,new,true,decade,1,box,1,https://lopez.com/,False
Gina Fox,3103757052,2224606653739615,07/27,320,5963 Mcdonald Curve,New Audrey,Indiana,03204,South Georgia and the South Sandwich Islands,recognize,challenge,either,marriage,2,letter,3,https://www.johnson-hill.com/,True
Jason Harper,001-664-952-2427x323,2291851350732632,04/30,657,35332 Teresa Mews,Lake Taylorton,New Mexico,67957,Saint Pierre and Miquelon,general,every,why,stand,2,send,1,https://smith.biz/,False
Scott Oliver,001-273-371-8535,5367458030810622,02/34,510,654 Harris Plains Apt. 729,West Jenniferview,Texas,05330,United Arab Emirates,thought,list,purpose,there,6,say,5,https://robinson.org/,False
John Crawford,+1-377-453-8315,2720752530863621,10/24,471,5041 Leach Roads Apt. 612,Port Jessemouth,New Jersey,67142,Niue,TV,author,inside,charge,3,suffer,1,https://brown-franklin.com/,False
Mary Baker,766-432-0142x2147,5122214018331347,01/25,687,38168 Foster Meadow Suite 865,New Tanya,Montana,83808,Denmark,space,pressure,sister,explain,6,attack,5,http://www.morris.net/,False
Catherine Strickland,389-341-7827x3810,2223183598161595,04/32,831,3890 Anthony Parkway Apt. 239,Richardfort,Hawaii,12998,Thailand,cut,wonder,system,member,1,he,3,http://www.mitchell.org/,False
Patricia Daniels,+1-369-776-9031x7970,2291013368412737,05/26,229,064 Mary Loaf Suite 987,Taylorside,Iowa,80986,Kuwait,sometimes,send,man,several,5,enjoy,1,https://turner.biz/,False
Meghan Schmidt,001-463-795-2252x8080,2256193274360049,07/26,183,67213 Burke Overpass Apt. 498,Dawnmouth,Oklahoma,31928,Moldova,his,thank,media,space,2,lead,5,http://white.com/,False
Lauren Barnes,+1-375-828-8116x98787,2484014933998876,11/24,963,005 Scott Glens Suite 362,Lake Anthonybury,Michigan,57404,Equatorial Guinea,appear,government,direction,control,7,put,1,http://brown.info/,False
Oscar Murphy,001-274-248-3427,2277236630031021,11/25,495,4792 Ryan Courts Apt. 444,Port Sarah,South Dakota,96768,Yemen,wide,town,process,way,8,management,5,http://baldwin.info/,False
Mark Davis,515-968-4209x10303,5419200341369569,08/28,667,4304 Smith Camp,Port Gavinborough,Massachusetts,01198,Senegal,similar,choose,game,nature,3,democratic,3,https://patel-savage.com/,True
Nancy Davis,917.997.7068,5406477808817315,03/25,165,3757 Christopher Meadow Suite 009,Charlesfort,Michigan,85902,Venezuela,drug,wind,truth,stage,4,special,3,http://www.clark.org/,True
Christine Bennett,+1-498-346-3658x21841,2284609592448832,10/29,077,3041 Miller Burg,East Whitney,Hawaii,46572,Kazakhstan,society,value,guess,floor,7,evening,2,http://owens-clark.com/,True
Chris Wood,3805074481,5235292972816440,08/25,225,330 Paul Land Apt. 680,Lake Robertburgh,Missouri,33369,United States Virgin Islands,risk,business,effect,base,7,better,4,http://www.chen.org/,False
Kyle Nelson,(852)273-7436,2267729692786583,05/31,142,1467 Margaret Villages,Williammouth,Kansas,81592,Benin,management,project,fact,Congress,5,method,1,https://sparks-morales.net/,False
Timothy Meyer,001-238-942-0564,2274617138265117,02/32,787,27053 Phillip Point Apt. 884,Lake Ian,Kansas,62414,Falkland Islands (Malvinas),price,story,picture,ten,6,lot,2,http://www.romero-mccarthy.com/,False
Charles Ward,215-935-4205,5232933414916479,03/29,851,0121 Pierce Port Apt. 949,Port Micheletown,Idaho,42949,Lithuania,article,piece,or,follow,6,outside,3,http://peterson.com/,True
Timothy Fields,001-969-845-7008x303,2223443881049042,06/28,041,57112 Andrew Drive Suite 500,Robertshire,Nevada,58152,Italy,offer,order,sit,environment,8,surface,4,https://davidson.info/,False
Christian Carter,001-532-778-2107,2720515493694923,04/26,641,906 Johnson Crest Suite 145,North Lisaburgh,Louisiana,48362,Mali,continue,pattern,outside,close,1,test,1,https://www.johnson.com/,False
Carolyn Thomas,(947)336-3252x362,2263862239802946,10/32,657,74241 Bonnie Crossing Suite 603,Raymondmouth,South Carolina,94920,San Marino,focus,at,maintain,employee,3,then,4,http://www.frank.com/,False
Christopher Perkins,576.978.5610x86594,2629604972961524,02/32,775,703 Phillips Mission Suite 698,Katrinaberg,Texas,58399,Korea,politics,bring,find,develop,8,store,4,https://cooley.com/,False
Curtis Morales,(845)430-2159x47791,2271764688601656,07/24,005,5447 Kane Ville Apt. 258,Robertmouth,Tennessee,10672,American Samoa,face,stock,plant,employee,1,cold,1,http://smith-rodriguez.info/,False
Kathryn Rios,333-671-7915x152,2560166147865353,06/29,543,541 Penny Expressway,Elijahview,Texas,14561,Serbia,issue,writer,gun,lot,7,themselves,1,https://www.roberson-le.com/,False
Kelly Collier MD,755.597.1503x658,2416373363001822,02/31,592,74457 James Ford,Huynhberg,Oklahoma,16909,Costa Rica,her,audience,dog,member,9,stage,5,https://www.brown.biz/,False
Connie Foster,+1-861-732-4520,2709792588948960,07/26,463,9390 John Island Suite 765,Kramerland,Virginia,77940,Cyprus,approach,movie,student,size,9,hotel,3,https://cardenas.com/,False
Ronald Michael,687.423.9711x3829,2715905559180718,10/31,118,96159 Jacqueline Viaduct Apt. 024,Garnerfort,West Virginia,14009,Antarctica (the territory South of 60 deg S),reason,imagine,list,involve,1,teacher,5,https://mitchell.com/,False
Geoffrey Myers,+1-480-945-8951,2261489154672294,01/28,715,0930 Wheeler Meadow Apt. 540,New Catherineshire,Virginia,57899,Korea,both,say,clear,end,1,way,5,https://fowler-wheeler.com/,False
Adam Downs,(753)657-8101,2677299462965381,06/33,427,822 Patricia Vista Suite 791,East Francesborough,Hawaii,87571,Wallis and Futuna,care,recently,why,owner,2,picture,2,http://www.campbell.com/,True
Michael Mathews,(822)505-5762,2241105498168899,10/27,780,804 Daniel Skyway,Lake Michaelland,Vermont,91346,Lesotho,away,official,from,discuss,4,strong,3,http://williams-grant.com/,False
Claudia Davis,(482)805-0029x83283,2233730205412908,08/28,731,1427 Jean Fields Apt. 045,New Nicoleview,Oklahoma,33359,Suriname,new,officer,social,which,9,look,4,https://adams-thompson.com/,False
Mathew Porter,(326)807-9798,2713168411484289,11/29,872,70310 Benson Mountains,Amyborough,Massachusetts,47243,Fiji,north,go,right,but,9,letter,5,http://johnson.com/,True
Derrick Adkins,(447)925-0356x9675,2283411922343853,01/33,113,444 Lee Trafficway,Beasleyland,Oregon,96017,Saint Helena,exactly,power,natural,keep,3,evidence,3,https://baird.com/,True
Aaron Bright,(330)976-1669,2579672809850350,03/32,678,1100 Johnson Keys,North Nicoleville,Rhode Island,61502,Papua New Guinea,full,interview,knowledge,can,1,spend,2,http://www.jennings-jones.com/,False
Katherine Vasquez,(599)609-3285x42823,2610598652455388,10/28,215,8276 Taylor Meadow Apt. 179,West Brianchester,Idaho,57638,Croatia,leader,else,must,enough,2,attorney,5,http://walker.info/,False
Tonya Wilson,4617053364,2700523232506725,12/28,199,57048 Robert Ports Suite 373,Port Nicolebury,Michigan,54780,Sri Lanka,its,power,letter,authority,4,important,5,https://cervantes.com/,False
Todd Foster,(703)421-2992,2488100388026887,08/25,235,6782 Baker Shore,Williamshire,Utah,56033,Finland,support,card,occur,painting,1,politics,1,https://peterson-kane.com/,True
Brett Taylor,305-393-0394,2272501122157716,07/33,614,1276 Jane Vista,Caitlynstad,Arkansas,50310,Mali,behind,your,they,interview,1,sing,1,https://www.cooper.info/,True
Tina Bradley,595-629-0259,2720788740985143,11/26,631,94161 Clark Well,East Tiffanyborough,Washington,37814,Afghanistan,degree,north,myself,per,3,hotel,3,https://www.blankenship.biz/,False
Michelle Freeman,+1-229-892-4695x67160,2260501656717319,05/31,050,38447 Smith Corner,Port Brianchester,Ohio,68526,Bouvet Island (Bouvetoya),more,low,high,fear,7,up,3,https://www.sutton.com/,False
Sheena Clark,(437)633-5098x54901,2276793389681522,06/24,782,0293 Kimberly Fort,South Colleen,Indiana,69517,Christmas Island,stuff,population,movement,through,1,stop,2,http://www.miller.net/,False
Christopher Mccullough,001-568-781-4748x789,2472147977460785,01/33,715,25167 Alexander Spur,Port Matthew,Delaware,03433,Malawi,beautiful,whatever,measure,sister,6,price,4,http://suarez.info/,True
Thomas Rivers,(490)964-9931x525,2474651154623964,08/28,269,700 Lonnie Crescent Apt. 590,Lake Williamberg,Maryland,83386,Cook Islands,pattern,prepare,adult,trouble,7,single,2,http://www.francis-miller.org/,True
Sharon Riley,(755)778-4614x148,5560953381790378,01/27,063,74059 Nicole Point Suite 644,West Joseph,Oklahoma,39798,Equatorial Guinea,challenge,guess,road,party,9,six,1,http://watson.com/,True
Denise Scott,609-999-3200,5279161120466399,05/26,193,863 Lisa Estates Apt. 605,Heatherton,Colorado,12492,South Georgia and the South Sandwich Islands,whether,page,room,energy,1,western,5,http://www.hall-figueroa.com/,True
Janice Campos,001-968-892-3379x51737,5117123544117913,04/29,114,404 Mayer Crossroad,Villarrealside,North Dakota,66448,Faroe Islands,place,heart,sometimes,single,4,loss,4,http://www.smith.net/,False
Sheila Fischer,826.386.4720,5212598020157067,11/29,279,48879 Joseph Run,East Harryberg,Hawaii,06837,Tokelau,above,crime,offer,total,6,interesting,1,http://www.ford-yates.net/,True
Allison Moore,+1-324-487-1336,5451478318028041,08/29,012,56369 Debra Fall Apt. 755,South Juan,Wyoming,03943,Uzbekistan,significant,worry,lot,very,9,school,2,http://www.beltran.biz/,True
Joshua Vasquez,+1-288-790-9178,2253664213831608,06/29,108,2198 Amy Gateway,East Samanthaside,Nebraska,29343,Malawi,commercial,public,expert,news,7,positive,1,https://holmes.com/,True
Sarah Zuniga,+1-205-453-0924x54070,2250269264451372,08/29,857,340 Alvarez Ports Suite 074,Taraberg,Kentucky,44471,Mozambique,organization,water,production,agree,1,from,2,https://mathews.com/,True
Monica Adams,001-907-476-8592x6322,2720864562703847,03/27,869,8248 Smith Junctions Apt. 919,New John,Washington,20726,Lesotho,certain,chair,base,push,9,there,3,https://winters.com/,True
Catherine Hunter,+1-915-749-4873x6176,2445701342791193,04/30,531,4344 Dawson Common Suite 291,South Robertton,Hawaii,29439,Heard Island and McDonald Islands,teacher,fill,improve,rather,6,material,4,http://huerta.biz/,True
David Carroll,404.380.1685,2296146382756724,04/31,844,1927 Peterson Prairie,Berryhaven,New Mexico,04441,North Macedonia,likely,and,wind,staff,8,pay,1,https://www.griffin-wright.com/,True
Kenneth Simon,695.723.2323,5542347022014210,08/29,513,114 Carter Drive,South Cameron,Oklahoma,08632,El Salvador,pattern,heavy,although,wall,1,goal,2,https://tate-contreras.com/,True
George Ryan,001-256-938-9385x81172,2228398296581796,02/25,471,788 Richard Estates Suite 260,Simmonshaven,Colorado,29491,United States of America,high,development,major,item,2,body,5,http://www.gonzales-gonzalez.info/,False
Lori Knight,(414)804-3402,2386439237643945,07/32,614,239 Fox Cove,Port Kayla,Wisconsin,57392,Brunei Darussalam,myself,case,table,guy,6,develop,3,https://allen-ellis.com/,True
Andrew Wilson,(952)908-7231,2364147719440781,10/28,055,374 Evans Falls,Ryanview,Wisconsin,26615,Argentina,data,million,someone,image,1,education,5,https://www.fletcher.com/,True
Faith Schwartz,303.657.2661,2283055547393742,07/33,370,9791 Flores Pike Apt. 903,Katherineside,Rhode Island,98258,Jamaica,remain,very,deep,table,3,trial,4,https://www.marquez-sullivan.com/,True
Joshua Medina,+1-930-956-5587x6375,5576976145184226,05/26,355,37259 Weaver Stream Apt. 047,Lake Kristintown,North Dakota,97755,Portugal,rate,try,save,tax,2,soon,3,https://www.burns-wheeler.biz/,True
Sharon Wright,282-530-7028,5336165935490610,06/33,643,71520 Kennedy Oval Apt. 986,Port Zachary,North Dakota,14630,Mauritania,so,information,million,similar,3,nice,4,https://www.smith.com/,False
Jacqueline Smith,765-439-7853x15009,2259333073165903,07/33,530,1424 John Fort,Walkerbury,Connecticut,14119,Antigua and Barbuda,Congress,international,development,item,6,book,5,http://reyes.net/,True
Jon Martin,001-294-363-4549x352,2720817970228435,10/32,862,461 Payne Rue,Jenniferville,Georgia,63292,Andorra,decision,young,mean,design,4,particular,2,http://king.net/,False
Regina Lawson,(635)294-0297x712,2685233304009199,09/29,113,758 Jodi Island Suite 719,Erinborough,Nevada,35371,Mexico,say,before,thought,account,2,father,2,http://www.rice.com/,True
Alisha Medina,001-695-321-8550x670,2233501242891572,02/30,904,17188 Ronald Points,Sandychester,Missouri,34448,Aruba,stock,box,lawyer,population,4,along,4,https://www.garcia.net/,True
David Scott,484.261.8995x513,2720703333891541,04/31,940,674 James Crossroad,Reneeshire,Indiana,59719,Bulgaria,join,report,like,many,9,war,4,http://www.hicks-harrison.info/,False
Paul Oconnell,001-242-962-1142x80788,5407512604007478,05/33,320,295 Harold Pine Suite 734,Kendraberg,Texas,37124,Seychelles,adult,wall,to,day,5,lay,3,http://hernandez.com/,False
Dominique Luna,(284)899-8400x6841,2281314051790856,08/32,436,58948 Craig Square,Burnsberg,Colorado,77368,Kenya,ahead,down,fast,member,3,media,1,http://thomas.com/,True
Lauren Phillips,744-816-2714x916,2258500718997400,09/32,901,4521 Sosa Trail,South Taylorburgh,Idaho,96520,American Samoa,level,explain,couple,name,9,husband,2,https://www.edwards.com/,False
Kathy Simon,+1-951-998-5707x718,5239961812478159,06/29,568,92573 Lance Dam Apt. 128,North Jessica,Louisiana,07537,Albania,treatment,speech,couple,hot,8,site,4,https://livingston.com/,False
Crystal Cruz,4403759177,2294245884303977,10/31,045,3886 Wright Parkways Apt. 459,West Andrewville,Texas,95320,Guinea-Bissau,explain,choice,activity,middle,2,attorney,3,https://www.fernandez-williams.com/,True
Linda Juarez,604.250.9640x28028,2390398465246090,07/29,201,407 Robert Ways,Port Tammyborough,Missouri,36689,Swaziland,include,piece,girl,star,1,else,2,http://mccoy.com/,False
Molly Roberts,781-929-9293,5336021941972812,02/33,530,653 Grimes Flats Suite 004,South Sarahshire,Minnesota,32311,Saint Barthelemy,on,show,report,end,2,arrive,3,https://www.krause.net/,True
Ann Ramirez,(214)375-6699x5514,2232150332214294,12/28,832,18036 Brittany Club Apt. 936,Port Tyler,New Jersey,66561,Saudi Arabia,detail,concern,hit,production,8,material,4,http://www.taylor.net/,True
Troy Kelly,001-780-954-7520x8882,2281969874073440,05/30,283,08220 Molly Row Suite 400,Lake Eddiefort,New Mexico,96547,Togo,board,sure,call,center,8,conference,4,https://garcia-ramirez.com/,True
Jason Mcfarland,+1-756-993-4793x043,5313566501089867,03/26,353,6132 Lewis Station Apt. 915,Neiltown,Alaska,34175,Qatar,society,simple,sister,smile,9,page,4,https://www.rich-powell.org/,False
Linda Glass,802-575-0620x4380,5183216462524356,01/26,554,434 Flynn Unions Apt. 968,North Shawn,Minnesota,84911,Guinea,picture,yourself,product,put,4,field,2,http://ruiz-schwartz.com/,True
Lisa Jacobson,+1-646-275-5491x3108,2278703827440744,11/33,881,241 Ramirez Junctions Suite 280,Leberg,New Jersey,25168,Qatar,learn,sea,step,buy,2,modern,3,https://mitchell.org/,False
Mariah Roy,953.942.3055x1315,5320852026855979,04/30,488,67343 Linda Valleys Apt. 704,South Carmenmouth,Pennsylvania,99726,Libyan Arab Jamahiriya,arrive,investment,cost,building,6,so,1,http://williamson-davidson.com/,True
Lindsey Anderson,983.661.6048x73910,2267124009057177,04/27,679,8021 Melanie Island,West Jenniferport,Minnesota,42090,Mexico,the,course,available,people,4,yet,5,http://www.lee-huff.com/,False
Drew Cook,001-835-565-9155x799,2716237861160652,08/25,309,51134 Elijah Points Suite 621,South Michelleport,New Jersey,87592,Senegal,particular,itself,defense,decide,4,ok,1,http://scott-baird.com/,False
Mr. Douglas Jones,001-976-770-4929,2500151600297453,10/24,953,57737 Kimberly Row,New John,Montana,32504,Norway,increase,really,they,song,1,change,2,https://www.miller.biz/,True
Sean Saunders,571.207.3571,2254652482587885,07/24,684,747 John Ville,West Jamesfort,New Jersey,42665,Guyana,other,best,ball,away,1,make,1,https://www.turner-page.biz/,True
Crystal Williams,001-382-202-5156x0612,2243743872994833,09/32,621,716 Thomas Station,New Cody,Oklahoma,77428,Poland,herself,service,method,before,8,him,1,http://www.lee.info/,False
Cody Graham,001-559-929-0354x32002,2280527549631058,08/26,209,13348 Grace Mountain,North Jacobton,New Jersey,67162,Barbados,produce,reason,official,partner,7,community,4,https://evans-macdonald.net/,False
Richard Russell,(622)752-0216,2281873233808241,03/29,148,2212 Lisa Spurs Apt. 983,Port Biancaland,Michigan,85497,Trinidad and Tobago,media,within,remain,conference,4,mean,4,http://lowe-butler.com/,True
Gary Perkins,758.746.9704,5571578742377552,07/33,479,44379 Darren Square,Lake Richardport,Michigan,18245,Brunei Darussalam,goal,take,room,poor,4,year,2,http://www.edwards-pugh.com/,False
Megan Mcdaniel,497.717.9925,2634720977849960,05/26,426,1248 Miller Mountains Suite 813,Rogerbury,Ohio,02585,El Salvador,fish,bank,future,local,6,all,1,http://walker.org/,False
Lori Anderson,001-623-701-6750x1948,5323160451186366,12/26,287,1808 Angela Cliffs,Jeremyville,West Virginia,36454,Faroe Islands,reality,century,than,news,3,allow,3,https://www.thompson.net/,True
Patrick Finley,492-445-2774x07750,2270388314179712,05/32,265,858 Hill Squares Apt. 703,Lake Lorifurt,Vermont,05937,Iraq,choice,easy,style,sell,8,whose,5,http://www.williams.com/,False
